"treatment","crr","lo","hi"
"Dex",0.0861006461100305,0.000110383188175398,0.617699861458478
"Bor/BorDex",0.962328077030784,0.00120660269194953,7.18613107131353
"LenDex",0.8626397205201,0.00112514715649072,6.19162635189768
"PomDex",68.1949877858241,0.523569279491771,99.9998029940878
"PomBorDex",5.18870402123464,0.00670741559279632,35.0847701446842
"CarLenDex",4.09163291975153,0.00605564918934488,26.9647381223094
"EloLenDex",0.596368853736021,0.000662392306699977,4.34071793981467
"IxaLenDex",1.7342614877266,0.00224032094591248,12.3484496717268
"CarDex",2.44545392907424,0.0030711881517247,17.7352830541733
"PanoBorDex",1.89603909220372,0.00238933057212233,13.6093607491498
"Thal/ThalDex",0.1751148618855,0.000133523183262432,1.34741310942612
"BorThalDex",0.655148667365327,0.000471650093861001,5.11590912061436
"DaraBorDex",2.83607871379198,0.00356340178635768,20.2981047124594
"DaraLenDex",3.2824303802737,0.00451841287384536,22.3881529018126
"OblDex",16.8756129550013,3.46208563267415e-27,99.9989950768785
"PLDBor",1.85174777847549,0.00191399163602966,13.7208482883861
