drop_id,interval,time_months,raw_target_survival,raw_drop,allocated_events,censors_before_drop,reconstructed_survival_after_drop,survival_error,cleaning_action
1,1,0.9412,0.99266,0.00734,4,0,0.986441,-0.006219,kept
2,1,3.2614,0.9863,0.00473,0,0,0.986441,0.000141,removed_or_merged
3,1,3.9853,0.97285,0.01345,6,0,0.966102,-0.006748,kept
4,1,4.1797,0.95647,0.01638,8,0,0.938983,-0.017487,kept
5,1,5.6176,0.94864,0.00783,0,0,0.938983,-0.009657,removed_or_merged
6,1,5.9559,0.93324,0.0154,9,0,0.908475,-0.024765,kept
7,1,7.098,0.92794,0.0053,10,0,0.874576,-0.053364,kept
8,1,8.029,0.89502,0.03292,10,0,0.840678,-0.054342,kept
9,2,10.3294,0.86794,0.02494,0,0,0.840678,-0.027262,removed_or_merged
10,2,11.9794,0.85664,0.0113,0,0,0.840678,-0.015962,removed_or_merged
11,2,12.9853,0.84666,0.00998,0,0,0.840678,-0.005982,removed_or_merged
12,2,14.1732,0.81169,0.03497,4,0,0.808954,-0.002736,kept
13,2,14.2588,0.7909,0.02079,3,0,0.785161,-0.005739,kept
14,2,14.7189,0.75348,0.03742,5,0,0.745507,-0.007973,kept
15,2,15.4216,0.74191,0.01157,1,0,0.737576,-0.004334,kept
16,2,15.5401,0.72694,0.01497,2,0,0.721714,-0.005226,kept
17,2,15.7326,0.71187,0.01507,3,0,0.697921,-0.013949,kept
18,2,16.8735,0.69861,0.01326,0,0,0.697921,-0.000689,removed_or_merged
19,2,17.2647,0.68305,0.01556,0,0,0.697921,0.014871,removed_or_merged
20,2,18.2026,0.66349,0.01956,5,0,0.658267,-0.005223,kept
21,2,18.5882,0.64314,0.02035,2,0,0.642405,-0.000735,kept
22,2,19.1235,0.62216,0.02098,5,0,0.60275,-0.01941,kept
23,2,19.4967,0.59892,0.02324,7,0,0.547234,-0.051686,kept
24,3,21.3235,0.5642,0.03404,0,0,0.547234,-0.016966,removed_or_merged
25,3,21.8984,0.52658,0.03762,1,0,0.518432,-0.008148,kept
26,3,27.4853,0.47542,0.05116,2,0,0.460828,-0.014592,kept
27,3,29.25,0.41599,0.05943,3,0,0.374423,-0.041567,kept
28,4,32.1414,0.20736,0.20863,2,1,0.187212,-0.020148,kept
