drop_id,interval,time_months,raw_target_survival,raw_drop,allocated_events,censors_before_drop,reconstructed_survival_after_drop,survival_error,cleaning_action
1,1,0.9412,0.99266,0.00734,0,0,1.0,0.00734,removed_or_merged
2,1,3.2614,0.9863,0.00473,6,0,0.979661,-0.006639,kept
3,1,3.9853,0.97285,0.01345,4,0,0.966102,-0.006748,kept
4,1,4.1797,0.95647,0.01638,3,0,0.955932,-0.000538,kept
5,1,5.6176,0.94864,0.00783,10,0,0.922034,-0.026606,kept
6,1,5.9559,0.93324,0.0154,6,0,0.901695,-0.031545,kept
7,1,7.098,0.92794,0.0053,10,0,0.867797,-0.060143,kept
8,1,8.029,0.89502,0.03292,10,0,0.833898,-0.061122,kept
9,2,10.3294,0.86794,0.02494,0,0,0.833898,-0.034042,removed_or_merged
10,2,11.9794,0.85664,0.0113,1,0,0.826031,-0.030609,kept
11,2,12.9853,0.84666,0.00998,0,0,0.826031,-0.020629,removed_or_merged
12,2,14.1732,0.81169,0.03497,2,0,0.810297,-0.001393,kept
13,2,14.2588,0.7909,0.02079,5,0,0.770963,-0.019937,kept
14,2,14.7189,0.75348,0.03742,0,0,0.770963,0.017483,removed_or_merged
15,2,15.4216,0.74191,0.01157,6,0,0.723761,-0.018149,kept
16,2,15.5401,0.72694,0.01497,0,0,0.723761,-0.003179,removed_or_merged
17,2,15.7326,0.71187,0.01507,0,0,0.723761,0.011891,removed_or_merged
18,2,16.8735,0.69861,0.01326,5,0,0.684426,-0.014184,kept
19,2,17.2647,0.68305,0.01556,1,0,0.676559,-0.006491,kept
20,2,18.2026,0.66349,0.01956,2,0,0.660825,-0.002665,kept
21,2,18.5882,0.64314,0.02035,3,0,0.637224,-0.005916,kept
22,2,19.1235,0.62216,0.02098,5,0,0.597889,-0.024271,kept
23,2,19.4967,0.59892,0.02324,9,0,0.527087,-0.071833,kept
24,3,21.3235,0.5642,0.03404,0,0,0.527087,-0.037113,removed_or_merged
25,3,21.8984,0.52658,0.03762,0,0,0.527087,0.000507,removed_or_merged
26,3,27.4853,0.47542,0.05116,2,0,0.471604,-0.003816,kept
27,3,29.25,0.41599,0.05943,4,0,0.360638,-0.055352,kept
28,4,32.1414,0.20736,0.20863,2,0,0.216383,0.009023,kept
