drop_id,interval,time_months,raw_target_survival,raw_drop,allocated_events,censors_before_drop,reconstructed_survival_after_drop,survival_error,cleaning_action
1,1,0.9412,0.99266,0.00734,0,0,1.0,0.00734,removed_or_merged
2,1,3.2614,0.9863,0.00473,5,0,0.983051,-0.003249,kept
3,1,3.9853,0.97285,0.01345,4,0,0.969492,-0.003358,kept
4,1,4.1797,0.95647,0.01638,10,0,0.935593,-0.020877,kept
5,1,5.6176,0.94864,0.00783,5,0,0.918644,-0.029996,kept
6,1,5.9559,0.93324,0.0154,10,0,0.884746,-0.048494,kept
7,1,7.098,0.92794,0.0053,10,0,0.850847,-0.077093,kept
8,1,8.029,0.89502,0.03292,10,0,0.816949,-0.078071,kept
9,2,10.3294,0.86794,0.02494,0,0,0.816949,-0.050991,removed_or_merged
10,2,11.9794,0.85664,0.0113,0,0,0.816949,-0.039691,removed_or_merged
11,2,12.9853,0.84666,0.00998,0,0,0.816949,-0.029711,removed_or_merged
12,2,14.1732,0.81169,0.03497,2,0,0.801535,-0.010155,kept
13,2,14.2588,0.7909,0.02079,3,0,0.778414,-0.012486,kept
14,2,14.7189,0.75348,0.03742,4,0,0.747586,-0.005894,kept
15,2,15.4216,0.74191,0.01157,0,0,0.747586,0.005676,removed_or_merged
16,2,15.5401,0.72694,0.01497,4,0,0.716757,-0.010183,kept
17,2,15.7326,0.71187,0.01507,0,0,0.716757,0.004887,removed_or_merged
18,2,16.8735,0.69861,0.01326,4,0,0.685929,-0.012681,kept
19,2,17.2647,0.68305,0.01556,1,0,0.678222,-0.004828,kept
20,2,18.2026,0.66349,0.01956,4,0,0.647394,-0.016096,kept
21,2,18.5882,0.64314,0.02035,2,0,0.63198,-0.01116,kept
22,2,19.1235,0.62216,0.02098,4,0,0.601151,-0.021009,kept
23,2,19.4967,0.59892,0.02324,10,0,0.524081,-0.074839,kept
24,3,21.3235,0.5642,0.03404,0,0,0.524081,-0.040119,removed_or_merged
25,3,21.8984,0.52658,0.03762,0,0,0.524081,-0.002499,removed_or_merged
26,3,27.4853,0.47542,0.05116,2,0,0.468914,-0.006506,kept
27,3,29.25,0.41599,0.05943,4,0,0.358581,-0.057409,kept
28,4,32.1414,0.20736,0.20863,2,0,0.215149,0.007789,kept
