interval,time,events
0,0.2141,2
0,1.6797,1
0,2.6743,1
0,3.8782,1
0,4.3493,2
0,4.8728,2
1,6.2337,1
1,6.4954,2
1,6.9142,1
1,7.4376,1
1,8.4845,1
1,8.7462,1
1,9.7408,1
1,10.2119,2
1,10.5783,1
2,12.2533,1
2,13.1955,2
2,13.5619,1
5,30.4692,1
5,30.7309,1
