"arm","time_months","reconstructed_nar"
"placebo_chemo",0,113
"placebo_chemo",6,62
"placebo_chemo",12,24
"placebo_chemo",18,8
"placebo_chemo",24,4
"placebo_chemo",30,2
"placebo_chemo",36,0
"pembro_chemo",0,112
"pembro_chemo",6,80
"pembro_chemo",12,44
"pembro_chemo",18,22
"pembro_chemo",24,9
"pembro_chemo",30,8
"pembro_chemo",36,2
