"Month","SoC_PFS","SoC_OS","Trt_PFS","Trt_OS"
0,1,1,1,1
1,0.960789439152323,0.982161032358301,0.975309912028333,0.990049833749168
2,0.912200133459225,0.962151030140172,0.947821890946634,0.979507584416103
3,0.861149019104654,0.941509678186847,0.91969863058698,0.968802971785739
4,0.809675874996828,0.920621511027009,0.89148217568698,0.958035027524755
5,0.75885395914617,0.899680386466915,0.86344302254526,0.947252187910096
6,0.709331303028073,0.878804366764305,0.835742540006969,0.936483465521487
7,0.661519058209035,0.858072598404257,0.808485562144619,0.925748182856612
8,0.615679156310584,0.837541222564519,0.781743276959524,0.915060077158377
9,0.571972476590092,0.81725148834445,0.755565002885345,0.904429350892829
10,0.530488352439976,0.797234373231202,0.729984956235558,0.893863816963749
11,0.491264068947951,0.777513431519592,0.705026460547447,0.883369591565272
12,0.454298468125021,0.758106658769304,0.680704725661923,0.872951539457839
13,0.419561827890391,0.739027770938122,0.657028769834541,0.862613574021086
14,0.387003247807331,0.720287115820161,0.634002799454608,0.852358867327406
15,0.356556289581549,0.701892343032233,0.611627229825476,0.842190001930701
16,0.328143350778147,0.683848909500823,0.589899459453612,0.832109083483027
17,0.301679091795555,0.666160469335657,0.568814469696972,0.822117826192945
18,0.277073138501389,0.648829180253138,0.548365297331955,0.81221761894718
19,0.254232220230804,0.63185594835767,0.528543412490085,0.802409577343801
20,0.23306186108852,0.615240626459863,0.509339024700109,0.79269458525183
21,0.213467713773517,0.598982176742483,0.490741333338922,0.783073328445
22,0.195356604811922,0.583078805632421,0.472738734425623,0.773546322142158
23,0.178637345311381,0.567528076695536,0.455318992656876,0.764113933796359
24,0.163221350366239,0.552327005931092,0.438469385428446,0.754776402131647
25,0.149023101904547,0.537472142807897,0.422176824032423,0.745533853182094
26,0.135960483320155,0.522959639628661,0.406427956077164,0.7363863139107
27,0.12395500916547,0.508785311248986,0.391209252325154,0.727333723855624
28,0.112931969140151,0.494944686756491,0.376507080499866,0.718375945154312
29,0.102820502349673,0.481433054395282,0.362307768119479,0.709512771222949
30,0.0935536151468469,0.468245500774423,0.348597656033152,0.700743934312842
31,0.0850681536786563,0.455376945207237,0.335363144036191,0.692069112122337
32,0.0773047404432998,0.442822169877525,0.322590729703636,0.683487933609309
33,0.0702076826448612,0.430575846409288,0.310267041392629,0.674999984122971
34,0.0637248588594846,0.418632559320861,0.298378866211517,0.666604809952836
35,0.0578075894536836,0.406986826767359,0.286913173629914,0.658301922376002
36,0.0524104952880553,0.395633118912619,0.275857135302576,0.650090801270505
37,0.0474913484707629,0.384565874220647,0.265198141596487,0.641970898351613
38,0.0430109182725472,0.373779513914317,0.254923815241219,0.633941640079054
39,0.0389328147606579,0.363268454814145,0.245022022464768,0.626002430275901
40,0.035223332238072,0.353027120740737,0.235480881928448,0.618152652493811
41,0.0318512941743376,0.343049952640108,0.226288771733366,0.610391672154349
42,0.0287879009749901,0.33333141757041,0.217434334736122,0.602718838491948
43,0.0260065816490273,0.323866016671202,0.208906482381635,0.595133486320577
44,0.0234828501909985,0.314648292221462,0.20069439723548,0.587634937643245
45,0.0211941672895757,0.305672833879897,0.192787534376188,0.580222503120997
46,0.0191198078026417,0.296934284190146,0.185175621788946,0.572895483415926
47,0.0172407342953281,0.288427343424078,0.177848659885692,0.565653170420937
48,0.0155394768180867,0.28014677382823,0.170796920262262,0.558494848387457
49,0.0140000190033417,0.272087403331352,0.164010943790682,0.551419794960958
50,0.0126076904785783,0.264244128764848,0.157481538133759,0.544427282133008
51,0.0113490655283058,0.256611918642493,0.151199774759437,0.537516577117591
