arm,time_months,survival
pembro_chemo,0.2296,1.0
pembro_chemo,0.3079,1.0
pembro_chemo,0.517,1.0
pembro_chemo,0.517,0.99826
pembro_chemo,0.517,0.99826
pembro_chemo,0.5953,0.99826
pembro_chemo,0.6476,0.99826
pembro_chemo,0.6476,0.98843
pembro_chemo,0.6476,0.98843
pembro_chemo,1.144,0.98843
pembro_chemo,1.1702,0.98843
pembro_chemo,1.1702,0.97917
pembro_chemo,1.1702,0.97917
pembro_chemo,1.7711,0.97917
pembro_chemo,1.7972,0.97917
pembro_chemo,1.7972,0.97222
pembro_chemo,1.7972,0.97222
pembro_chemo,1.9279,0.97222
pembro_chemo,1.954,0.97222
pembro_chemo,1.954,0.96701
pembro_chemo,1.954,0.96701
pembro_chemo,2.0846,0.96701
pembro_chemo,2.1107,0.96701
pembro_chemo,2.1107,0.93808
pembro_chemo,2.1107,0.93808
pembro_chemo,2.163,0.93808
pembro_chemo,2.372,0.93808
pembro_chemo,2.372,0.92014
pembro_chemo,2.372,0.92014
pembro_chemo,2.5027,0.92014
pembro_chemo,2.6333,0.92014
pembro_chemo,2.6333,0.91956
pembro_chemo,2.6333,0.91956
pembro_chemo,2.7117,0.91956
pembro_chemo,3.0513,0.91956
pembro_chemo,3.0513,0.91956
pembro_chemo,3.0513,0.91956
pembro_chemo,3.1036,0.91956
pembro_chemo,3.1297,0.91956
pembro_chemo,3.1297,0.91435
pembro_chemo,3.1297,0.91435
pembro_chemo,3.4432,0.91435
pembro_chemo,3.5739,0.91435
pembro_chemo,3.5739,0.91435
pembro_chemo,3.5739,0.91435
pembro_chemo,3.6,0.91435
pembro_chemo,3.6261,0.91435
pembro_chemo,3.6261,0.90567
pembro_chemo,3.6261,0.90567
pembro_chemo,3.9919,0.90567
pembro_chemo,4.0442,0.90567
pembro_chemo,4.0442,0.87616
pembro_chemo,4.0442,0.87616
pembro_chemo,4.8803,0.87616
pembro_chemo,5.1154,0.87616
pembro_chemo,5.1154,0.87616
pembro_chemo,5.1154,0.87616
pembro_chemo,5.1415,0.87616
pembro_chemo,5.2983,0.87616
pembro_chemo,5.2983,0.83391
pembro_chemo,5.2983,0.83391
pembro_chemo,5.3244,0.83391
pembro_chemo,5.5073,0.83391
pembro_chemo,5.5073,0.83391
pembro_chemo,5.5073,0.83391
pembro_chemo,5.6118,0.83391
pembro_chemo,5.7686,0.83391
pembro_chemo,5.7686,0.83391
pembro_chemo,5.7686,0.83391
pembro_chemo,5.847,0.83391
pembro_chemo,5.9254,0.83391
pembro_chemo,5.9254,0.78125
pembro_chemo,5.9254,0.78125
pembro_chemo,6.3695,0.78125
pembro_chemo,6.5263,0.78125
pembro_chemo,6.5263,0.77025
pembro_chemo,6.5263,0.77025
pembro_chemo,6.6047,0.77025
pembro_chemo,6.6308,0.77025
pembro_chemo,6.6308,0.76215
pembro_chemo,6.6308,0.76215
pembro_chemo,6.8398,0.76215
pembro_chemo,7.075,0.76215
pembro_chemo,7.075,0.74942
pembro_chemo,7.075,0.74942
pembro_chemo,7.1272,0.74942
pembro_chemo,7.4408,0.74942
pembro_chemo,7.4408,0.74942
pembro_chemo,7.4408,0.74942
pembro_chemo,7.493,0.74942
pembro_chemo,7.5191,0.74942
pembro_chemo,7.5191,0.7419
pembro_chemo,7.5191,0.7419
pembro_chemo,7.5975,0.7419
pembro_chemo,7.6498,0.7419
pembro_chemo,7.6498,0.73553
pembro_chemo,7.6498,0.73553
pembro_chemo,7.9372,0.73553
pembro_chemo,7.9633,0.73553
pembro_chemo,7.9633,0.72569
pembro_chemo,7.9633,0.72569
pembro_chemo,8.0417,0.72569
pembro_chemo,8.0678,0.72569
pembro_chemo,8.0678,0.71586
pembro_chemo,8.0678,0.71586
pembro_chemo,8.1985,0.71586
pembro_chemo,8.2246,0.71586
pembro_chemo,8.2246,0.70486
pembro_chemo,8.2246,0.70486
pembro_chemo,8.2768,0.70486
pembro_chemo,8.303,0.70486
pembro_chemo,8.303,0.68634
pembro_chemo,8.303,0.68634
pembro_chemo,8.3813,0.68634
pembro_chemo,8.6949,0.68634
pembro_chemo,8.6949,0.64467
pembro_chemo,8.6949,0.64467
pembro_chemo,8.7733,0.64467
pembro_chemo,8.9039,0.64467
pembro_chemo,8.9039,0.63137
pembro_chemo,8.9039,0.63137
pembro_chemo,9.0345,0.63137
pembro_chemo,9.2174,0.63137
pembro_chemo,9.2174,0.62789
pembro_chemo,9.2174,0.62789
pembro_chemo,9.2958,0.62789
pembro_chemo,9.3219,0.62789
pembro_chemo,9.3219,0.62326
pembro_chemo,9.3219,0.62326
pembro_chemo,9.4526,0.62326
pembro_chemo,9.6877,0.62326
pembro_chemo,9.6877,0.60822
pembro_chemo,9.6877,0.60822
pembro_chemo,9.7138,0.60822
pembro_chemo,9.949,0.60822
pembro_chemo,9.949,0.60677
pembro_chemo,9.949,0.60677
pembro_chemo,10.2364,0.60677
pembro_chemo,10.2625,0.60677
pembro_chemo,10.2625,0.59664
pembro_chemo,10.2625,0.59664
pembro_chemo,10.3409,0.59664
pembro_chemo,10.367,0.59664
pembro_chemo,10.367,0.57581
pembro_chemo,10.367,0.57581
pembro_chemo,10.5238,0.57581
pembro_chemo,10.5499,0.57581
pembro_chemo,10.5499,0.57118
pembro_chemo,10.5499,0.57118
pembro_chemo,10.7067,0.57118
pembro_chemo,10.7328,0.57118
pembro_chemo,10.7328,0.56597
pembro_chemo,10.7328,0.56597
pembro_chemo,10.9157,0.56597
pembro_chemo,11.3076,0.56597
pembro_chemo,11.3076,0.53414
pembro_chemo,11.3076,0.53414
pembro_chemo,11.4383,0.53414
pembro_chemo,11.4644,0.53414
pembro_chemo,11.4644,0.52488
pembro_chemo,11.4644,0.52488
pembro_chemo,11.4905,0.52488
pembro_chemo,11.6212,0.52488
pembro_chemo,11.6212,0.52488
pembro_chemo,11.6212,0.52488
pembro_chemo,11.6473,0.52488
pembro_chemo,12.0915,0.52488
pembro_chemo,12.0915,0.52488
pembro_chemo,12.0915,0.52488
pembro_chemo,12.3789,0.52488
pembro_chemo,12.5617,0.52488
pembro_chemo,12.5617,0.52488
pembro_chemo,12.5617,0.52488
pembro_chemo,12.5879,0.52488
pembro_chemo,12.7185,0.52488
pembro_chemo,12.7185,0.52025
pembro_chemo,12.7185,0.52025
pembro_chemo,12.7446,0.52025
pembro_chemo,12.7708,0.52025
pembro_chemo,12.7708,0.50984
pembro_chemo,12.7708,0.50984
pembro_chemo,12.9537,0.50984
pembro_chemo,12.9798,0.50984
pembro_chemo,12.9798,0.50405
pembro_chemo,12.9798,0.50405
pembro_chemo,13.0059,0.50405
pembro_chemo,13.1888,0.50405
pembro_chemo,13.1888,0.49248
pembro_chemo,13.1888,0.49248
pembro_chemo,13.2149,0.49248
pembro_chemo,13.2411,0.49248
pembro_chemo,13.2411,0.48727
pembro_chemo,13.2411,0.48727
pembro_chemo,13.3717,0.48727
pembro_chemo,13.3978,0.48727
pembro_chemo,13.3978,0.47627
pembro_chemo,13.3978,0.47627
pembro_chemo,13.842,0.47627
pembro_chemo,13.8681,0.47627
pembro_chemo,13.8681,0.46238
pembro_chemo,13.8681,0.46238
pembro_chemo,13.8942,0.46238
pembro_chemo,14.1294,0.46238
pembro_chemo,14.1294,0.46238
pembro_chemo,14.1294,0.46238
pembro_chemo,14.4168,0.46238
pembro_chemo,14.6519,0.46238
pembro_chemo,14.6519,0.46238
pembro_chemo,14.6519,0.46238
pembro_chemo,14.7303,0.46238
pembro_chemo,14.7565,0.46238
pembro_chemo,14.7565,0.45718
pembro_chemo,14.7565,0.45718
pembro_chemo,14.8871,0.45718
pembro_chemo,14.9655,0.45718
pembro_chemo,14.9655,0.4485
pembro_chemo,14.9655,0.4485
pembro_chemo,14.9916,0.4485
pembro_chemo,15.1745,0.4485
pembro_chemo,15.1745,0.4485
pembro_chemo,15.1745,0.4485
pembro_chemo,15.2006,0.4485
pembro_chemo,15.2268,0.4485
pembro_chemo,15.2268,0.43924
pembro_chemo,15.2268,0.43924
pembro_chemo,15.4096,0.43924
pembro_chemo,15.6448,0.43924
pembro_chemo,15.6448,0.43692
pembro_chemo,15.6448,0.43692
pembro_chemo,15.9844,0.43692
pembro_chemo,16.6376,0.43692
pembro_chemo,16.6376,0.43692
pembro_chemo,16.6376,0.43692
pembro_chemo,16.6638,0.43692
pembro_chemo,16.8467,0.43692
pembro_chemo,16.8467,0.43692
pembro_chemo,16.8467,0.43692
pembro_chemo,16.8728,0.43692
pembro_chemo,17.0034,0.43692
pembro_chemo,17.0034,0.43692
pembro_chemo,17.0034,0.43692
pembro_chemo,17.1863,0.43692
pembro_chemo,17.317,0.43692
pembro_chemo,17.317,0.43692
pembro_chemo,17.317,0.43692
pembro_chemo,17.3431,0.43692
pembro_chemo,17.5782,0.43692
pembro_chemo,17.5782,0.43692
pembro_chemo,17.5782,0.43692
pembro_chemo,17.6044,0.43692
pembro_chemo,18.3098,0.43692
pembro_chemo,18.3098,0.43692
pembro_chemo,18.3098,0.43692
pembro_chemo,18.3359,0.43692
pembro_chemo,18.4143,0.43692
pembro_chemo,18.4143,0.42303
pembro_chemo,18.4143,0.42303
pembro_chemo,18.5972,0.42303
pembro_chemo,18.9891,0.42303
pembro_chemo,18.9891,0.41377
pembro_chemo,18.9891,0.41377
pembro_chemo,19.0675,0.41377
pembro_chemo,19.0936,0.41377
pembro_chemo,19.0936,0.39988
pembro_chemo,19.0936,0.39988
pembro_chemo,19.1198,0.39988
pembro_chemo,19.1459,0.39988
pembro_chemo,19.1459,0.39091
pembro_chemo,19.1459,0.39091
pembro_chemo,19.2243,0.39091
pembro_chemo,19.2504,0.39091
pembro_chemo,19.2504,0.38368
pembro_chemo,19.2504,0.38368
pembro_chemo,19.2765,0.38368
pembro_chemo,19.6162,0.38368
pembro_chemo,19.6162,0.36748
pembro_chemo,19.6162,0.36748
pembro_chemo,19.6423,0.36748
pembro_chemo,20.0865,0.36748
pembro_chemo,20.0865,0.36748
pembro_chemo,20.0865,0.36748
pembro_chemo,20.1126,0.36748
pembro_chemo,20.5045,0.36748
pembro_chemo,20.5045,0.36748
pembro_chemo,20.5045,0.36748
pembro_chemo,20.5306,0.36748
pembro_chemo,20.7135,0.36748
pembro_chemo,20.7135,0.36516
pembro_chemo,20.7135,0.36516
pembro_chemo,25.3904,0.36516
pembro_chemo,25.5732,0.36516
pembro_chemo,25.5732,0.36516
pembro_chemo,25.5732,0.36516
pembro_chemo,25.5994,0.36516
pembro_chemo,25.939,0.36516
pembro_chemo,25.939,0.36516
pembro_chemo,25.939,0.36516
pembro_chemo,26.958,0.36516
pembro_chemo,27.0103,0.36516
pembro_chemo,27.0103,0.33623
pembro_chemo,27.0103,0.33623
pembro_chemo,27.1148,0.33623
pembro_chemo,27.1409,0.33623
pembro_chemo,27.1409,0.30729
pembro_chemo,27.1409,0.30729
pembro_chemo,28.5257,0.30729
pembro_chemo,28.7085,0.30729
pembro_chemo,28.7085,0.30498
pembro_chemo,28.7085,0.30498
pembro_chemo,28.8914,0.30498
pembro_chemo,29.0743,0.30498
pembro_chemo,29.0743,0.30498
