subgroup,endpoint,treatment,curve_id,dist_label,parameter,estimate,se
dMMR,OS,pembro_chemo,dMMR_OS_pembro_chemo,gompertz,rate,0.007900990846882896,0.004254504827624484
dMMR,OS,pembro_chemo,dMMR_OS_pembro_chemo,lognormal,meanlog,6.876897382288005,1.4301885361664382
dMMR,OS,pembro_chemo,dMMR_OS_pembro_chemo,lognormal,sdlog,2.926031499594904,0.8570208663451191
dMMR,OS,pembro_chemo,dMMR_OS_pembro_chemo,loglogistic,shape,0.7807353824359985,0.24981575691911562
dMMR,OS,pembro_chemo,dMMR_OS_pembro_chemo,loglogistic,scale,365.9462862299584,414.4398137609895
dMMR,OS,pembro_chemo,dMMR_OS_pembro_chemo,gamma,shape,0.7498420847548246,0.2511250282904199
dMMR,OS,pembro_chemo,dMMR_OS_pembro_chemo,gamma,rate,0.0019354348010474154,0.0026267452079710733
dMMR,OS,pembro_chemo,dMMR_OS_pembro_chemo,generalized_gamma,mu,6.897391143039755,2.096589933544551
dMMR,OS,pembro_chemo,dMMR_OS_pembro_chemo,generalized_gamma,sigma,2.990254887920826,5.014813332403155
dMMR,OS,pembro_chemo,dMMR_OS_pembro_chemo,generalized_gamma,Q,-0.03569124644753892,2.750571390868787
pMMR,PFS,placebo_chemo,pMMR_PFS_placebo_chemo,exponential,rate,0.06926225811970985,0.006005799470152198
pMMR,PFS,placebo_chemo,pMMR_PFS_placebo_chemo,weibull,shape,1.5540559178554134,0.09643513464726429
pMMR,PFS,placebo_chemo,pMMR_PFS_placebo_chemo,weibull,scale,12.25577404667547,0.6979922002530711
pMMR,PFS,placebo_chemo,pMMR_PFS_placebo_chemo,gompertz,shape,0.07170546818269379,0.01331629116824314
pMMR,PFS,placebo_chemo,pMMR_PFS_placebo_chemo,gompertz,rate,0.04513075565241576,0.005837694478667802
pMMR,PFS,placebo_chemo,pMMR_PFS_placebo_chemo,lognormal,meanlog,2.2491719790268356,0.07620542646530556
pMMR,PFS,placebo_chemo,pMMR_PFS_placebo_chemo,lognormal,sdlog,0.9909530453009794,0.06014673415872869
pMMR,PFS,placebo_chemo,pMMR_PFS_placebo_chemo,loglogistic,shape,2.0363169829145455,0.14178965209708427
pMMR,PFS,placebo_chemo,pMMR_PFS_placebo_chemo,loglogistic,scale,9.247659379407743,0.5781979903099365
pMMR,PFS,placebo_chemo,pMMR_PFS_placebo_chemo,gamma,shape,1.8980290296016034,0.18441741051601257
pMMR,PFS,placebo_chemo,pMMR_PFS_placebo_chemo,gamma,rate,0.1664235429353454,0.022882548759177487
pMMR,PFS,placebo_chemo,pMMR_PFS_placebo_chemo,generalized_gamma,mu,2.4937355396231267,0.07675578191084614
pMMR,PFS,placebo_chemo,pMMR_PFS_placebo_chemo,generalized_gamma,sigma,0.6532917402225412,0.05814088668181561
pMMR,PFS,placebo_chemo,pMMR_PFS_placebo_chemo,generalized_gamma,Q,0.9572444662337622,0.17823009526942343
pMMR,PFS,pembro_chemo,pMMR_PFS_pembro_chemo,exponential,rate,0.03929182359666492,0.004164924971404867
pMMR,PFS,pembro_chemo,pMMR_PFS_pembro_chemo,weibull,shape,1.3953170560303514,0.11113487776799724
pMMR,PFS,pembro_chemo,pMMR_PFS_pembro_chemo,weibull,scale,19.753285256960694,1.7415867184590332
pMMR,PFS,pembro_chemo,pMMR_PFS_pembro_chemo,gompertz,shape,0.03533792402388807,0.0160815112423133
pMMR,PFS,pembro_chemo,pMMR_PFS_pembro_chemo,gompertz,rate,0.03126813703348441,0.004889318079189365
pMMR,PFS,pembro_chemo,pMMR_PFS_pembro_chemo,lognormal,meanlog,2.7680471558826865,0.10859116854532785
pMMR,PFS,pembro_chemo,pMMR_PFS_pembro_chemo,lognormal,sdlog,1.1267528521543224,0.08690094757867001
pMMR,PFS,pembro_chemo,pMMR_PFS_pembro_chemo,loglogistic,shape,1.7235709973205784,0.14775083627561725
pMMR,PFS,pembro_chemo,pMMR_PFS_pembro_chemo,loglogistic,scale,14.559360771802082,1.3248604759504996
pMMR,PFS,pembro_chemo,pMMR_PFS_pembro_chemo,gamma,shape,1.6308494394596051,0.1867526996427766
pMMR,PFS,pembro_chemo,pMMR_PFS_pembro_chemo,gamma,rate,0.08748830662345987,0.01650423753909459
pMMR,PFS,pembro_chemo,pMMR_PFS_pembro_chemo,generalized_gamma,mu,2.88630352598887,0.110905409434794
pMMR,PFS,pembro_chemo,pMMR_PFS_pembro_chemo,generalized_gamma,sigma,0.8707049919525007,0.12645493438967914
pMMR,PFS,pembro_chemo,pMMR_PFS_pembro_chemo,generalized_gamma,Q,0.5767818949572593,0.26165093218275
pMMR,OS,placebo_chemo,pMMR_OS_placebo_chemo,exponential,rate,0.018758337081118556,0.0024017589526148255
pMMR,OS,placebo_chemo,pMMR_OS_placebo_chemo,weibull,shape,1.6054197258188299,0.1609782089657436
pMMR,OS,placebo_chemo,pMMR_OS_placebo_chemo,weibull,scale,32.094999292066426,3.541190811022882
pMMR,OS,placebo_chemo,pMMR_OS_placebo_chemo,gompertz,shape,0.07094539238253551,0.01673277259623905
pMMR,OS,placebo_chemo,pMMR_OS_placebo_chemo,gompertz,rate,0.01005433065986256,0.0021951117914821602
pMMR,OS,placebo_chemo,pMMR_OS_placebo_chemo,lognormal,meanlog,3.4453999590460733,0.14384726471995185
pMMR,OS,placebo_chemo,pMMR_OS_placebo_chemo,lognormal,sdlog,1.1463088311954346,0.10816381177851951
pMMR,OS,placebo_chemo,pMMR_OS_placebo_chemo,loglogistic,shape,1.762872370023718,0.18193253348451774
pMMR,OS,placebo_chemo,pMMR_OS_placebo_chemo,loglogistic,scale,27.1738176399387,3.112015128447449
pMMR,OS,placebo_chemo,pMMR_OS_placebo_chemo,gamma,shape,1.8044565733446232,0.24353469694238952
pMMR,OS,placebo_chemo,pMMR_OS_placebo_chemo,gamma,rate,0.05604902905561745,0.013290989938966677
pMMR,OS,placebo_chemo,pMMR_OS_placebo_chemo,generalized_gamma,mu,3.4919745788793013,0.12091095134061715
pMMR,OS,placebo_chemo,pMMR_OS_placebo_chemo,generalized_gamma,sigma,0.4701724568039375,0.2844769321021263
pMMR,OS,placebo_chemo,pMMR_OS_placebo_chemo,generalized_gamma,Q,1.454169393955793,1.0328256508493128
pMMR,OS,pembro_chemo,pMMR_OS_pembro_chemo,exponential,rate,0.016134917618172158,0.0022163013836938453
pMMR,OS,pembro_chemo,pMMR_OS_pembro_chemo,weibull,shape,1.4225623974922723,0.15532003718906723
pMMR,OS,pembro_chemo,pMMR_OS_pembro_chemo,weibull,scale,39.97967346874697,5.744334364726489
pMMR,OS,pembro_chemo,pMMR_OS_pembro_chemo,gompertz,shape,0.046203193521449346,0.017564711816310148
pMMR,OS,pembro_chemo,pMMR_OS_pembro_chemo,gompertz,rate,0.010751231609149125,0.0024026997231782906
pMMR,OS,pembro_chemo,pMMR_OS_pembro_chemo,lognormal,meanlog,3.6886917320536576,0.18158568512117496
pMMR,OS,pembro_chemo,pMMR_OS_pembro_chemo,lognormal,sdlog,1.3009193330082123,0.13360828661722646
pMMR,OS,pembro_chemo,pMMR_OS_pembro_chemo,loglogistic,shape,1.5558132130571947,0.17383497088366848
pMMR,OS,pembro_chemo,pMMR_OS_pembro_chemo,loglogistic,scale,33.278019263093626,4.844308573786579
pMMR,OS,pembro_chemo,pMMR_OS_pembro_chemo,gamma,shape,1.5473540425027008,0.21799659359615248
pMMR,OS,pembro_chemo,pMMR_OS_pembro_chemo,gamma,rate,0.038582210762436835,0.010521592182342684
pMMR,OS,pembro_chemo,pMMR_OS_pembro_chemo,generalized_gamma,mu,3.6880489271931083,0.14600932591293517
pMMR,OS,pembro_chemo,pMMR_OS_pembro_chemo,generalized_gamma,sigma,0.7350538538602661,0.3219547348071673
pMMR,OS,pembro_chemo,pMMR_OS_pembro_chemo,generalized_gamma,Q,0.9333559344657851,0.6310823490147186
