subgroup,endpoint,treatment,arm_role,treatment_label,curve_id,dist_label,dist_name,converged,error,n,events,loglik,aic,bic
pMMR,PFS,placebo_chemo,comparator,Placebo + paclitaxel-carboplatin,pMMR_PFS_placebo_chemo,generalized_gamma,gengamma,TRUE,NA,292,133,-468.6058449432101,943.2116898864202,954.241951293225
pMMR,PFS,placebo_chemo,comparator,Placebo + paclitaxel-carboplatin,pMMR_PFS_placebo_chemo,loglogistic,llogis,TRUE,NA,292,133,-470.70675476685244,945.4135095337049,952.7670171382415
pMMR,PFS,placebo_chemo,comparator,Placebo + paclitaxel-carboplatin,pMMR_PFS_placebo_chemo,gompertz,gompertz,TRUE,NA,292,133,-476.31832962932157,956.6366592586431,963.9901668631798
pMMR,PFS,placebo_chemo,comparator,Placebo + paclitaxel-carboplatin,pMMR_PFS_placebo_chemo,lognormal,lnorm,TRUE,NA,292,133,-483.53835267140596,971.0767053428119,978.4302129473485
pMMR,PFS,placebo_chemo,comparator,Placebo + paclitaxel-carboplatin,pMMR_PFS_placebo_chemo,exponential,exp,TRUE,NA,292,133,-488.0907324523345,978.181464904669,981.8582187069374
pMMR,PFS,pembro_chemo,intervention,Pembrolizumab + paclitaxel-carboplatin,pMMR_PFS_pembro_chemo,loglogistic,llogis,TRUE,NA,290,89,-367.2267707965525,738.453541593105,745.793303439066
pMMR,PFS,pembro_chemo,intervention,Pembrolizumab + paclitaxel-carboplatin,pMMR_PFS_pembro_chemo,gamma,gamma,TRUE,NA,290,89,-368.94559565766167,741.8911913153233,749.2309531612843
pMMR,PFS,pembro_chemo,intervention,Pembrolizumab + paclitaxel-carboplatin,pMMR_PFS_pembro_chemo,generalized_gamma,gengamma,TRUE,NA,290,89,-368.6300902310613,743.2601804621225,754.2698232310642
pMMR,PFS,pembro_chemo,intervention,Pembrolizumab + paclitaxel-carboplatin,pMMR_PFS_pembro_chemo,weibull,weibull,TRUE,NA,290,89,-369.8487047870395,743.697409574079,751.03717142004
pMMR,PFS,pembro_chemo,intervention,Pembrolizumab + paclitaxel-carboplatin,pMMR_PFS_pembro_chemo,lognormal,lnorm,TRUE,NA,290,89,-370.7779954340747,745.5559908681494,752.8957527141104
pMMR,PFS,pembro_chemo,intervention,Pembrolizumab + paclitaxel-carboplatin,pMMR_PFS_pembro_chemo,gompertz,gompertz,TRUE,NA,290,89,-374.91687698817384,753.8337539763477,761.1735158223087
pMMR,PFS,pembro_chemo,intervention,Pembrolizumab + paclitaxel-carboplatin,pMMR_PFS_pembro_chemo,exponential,exp,TRUE,NA,290,89,-377.069756112789,756.139512225578,759.8093931485585
pMMR,OS,placebo_chemo,comparator,Placebo + paclitaxel-carboplatin,pMMR_OS_placebo_chemo,weibull,weibull,TRUE,NA,295,61,-294.799141489555,593.59828297911,600.9722336917896
pMMR,OS,placebo_chemo,comparator,Placebo + paclitaxel-carboplatin,pMMR_OS_placebo_chemo,gamma,gamma,TRUE,NA,295,61,-295.1923038351572,594.3846076703144,601.758558382994
pMMR,OS,placebo_chemo,comparator,Placebo + paclitaxel-carboplatin,pMMR_OS_placebo_chemo,generalized_gamma,gengamma,TRUE,NA,295,61,-294.62168387187813,595.2433677437563,606.3042938127758
pMMR,OS,placebo_chemo,comparator,Placebo + paclitaxel-carboplatin,pMMR_OS_placebo_chemo,loglogistic,llogis,TRUE,NA,295,61,-295.62460336655204,595.2492067331041,602.6231574457837
pMMR,OS,placebo_chemo,comparator,Placebo + paclitaxel-carboplatin,pMMR_OS_placebo_chemo,gompertz,gompertz,TRUE,NA,295,61,-295.8479729724675,595.695945944935,603.0698966576147
pMMR,OS,placebo_chemo,comparator,Placebo + paclitaxel-carboplatin,pMMR_OS_placebo_chemo,lognormal,lnorm,TRUE,NA,295,61,-298.0663639559566,600.1327279119132,607.5066786245928
pMMR,OS,placebo_chemo,comparator,Placebo + paclitaxel-carboplatin,pMMR_OS_placebo_chemo,exponential,exp,TRUE,NA,295,61,-303.54313584396937,609.0862716879387,612.7732470442786
pMMR,OS,pembro_chemo,intervention,Pembrolizumab + paclitaxel-carboplatin,pMMR_OS_pembro_chemo,weibull,weibull,TRUE,NA,293,53,-267.37131659926115,538.7426331985223,546.1029784165564
pMMR,OS,pembro_chemo,intervention,Pembrolizumab + paclitaxel-carboplatin,pMMR_OS_pembro_chemo,gamma,gamma,TRUE,NA,293,53,-267.39022818790977,538.7804563758195,546.1408015938537
pMMR,OS,pembro_chemo,intervention,Pembrolizumab + paclitaxel-carboplatin,pMMR_OS_pembro_chemo,loglogistic,llogis,TRUE,NA,293,53,-267.48328351405297,538.9665670281059,546.3269122461401
pMMR,OS,pembro_chemo,intervention,Pembrolizumab + paclitaxel-carboplatin,pMMR_OS_pembro_chemo,generalized_gamma,gengamma,TRUE,NA,293,53,-267.3663153814073,540.7326307628146,551.7731485898657
pMMR,OS,pembro_chemo,intervention,Pembrolizumab + paclitaxel-carboplatin,pMMR_OS_pembro_chemo,gompertz,gompertz,TRUE,NA,293,53,-268.658546267147,541.317092534294,548.6774377523282
pMMR,OS,pembro_chemo,intervention,Pembrolizumab + paclitaxel-carboplatin,pMMR_OS_pembro_chemo,lognormal,lnorm,TRUE,NA,293,53,-268.768096930113,541.536193860226,548.8965390782602
pMMR,OS,pembro_chemo,intervention,Pembrolizumab + paclitaxel-carboplatin,pMMR_OS_pembro_chemo,exponential,exp,TRUE,NA,293,53,-271.718786622654,545.437573245308,549.1177458543251
