interval,time,events
1,0.6165,6
1,1.5056,1
1,1.9241,1
1,2.1333,1
1,2.4471,5
1,2.604,1
1,3.8593,5
1,4.2254,3
1,4.33,7
1,5.0623,3
1,5.4807,4
1,5.9515,5
2,6.0561,5
2,6.3176,2
2,6.3699,2
2,6.4745,3
2,7.0498,3
2,7.9913,2
2,8.2528,4
2,8.462,3
2,8.6189,5
2,10.2404,2
2,10.4496,3
2,11.0249,4
2,11.6003,2
3,13.0125,1
3,14.7385,1
4,18.4521,1
4,19.0797,1
4,19.132,1
4,19.3935,1
5,26.9776,1
